task,model,building_id,source_area,context_tolerance_m,paired_point_rmse_m,hausdorff_distance_m,relative_area_error_pct,source_is_valid,target_is_valid,prediction_is_valid
Fixed 2 m target,Identity baseline,2575,wedding,,7.560409540670698,1.0853043015819948,3.328839099878325,True,True,True
Fixed 2 m target,Identity baseline,2576,wedding,,0.5095523263252096,0.7500000332365744,0.22503982358686542,True,True,True
Fixed 2 m target,Identity baseline,2577,wedding,,0.833011890443107,1.519086811851476,4.907771257052776,True,True,True
Fixed 2 m target,Identity baseline,2578,wedding,,1.3965376643277017,1.0457083472436441,3.593945837282347,True,True,True
Fixed 2 m target,Identity baseline,2579,wedding,,0.8419395860379469,1.7622612185433604,9.176579338511177,True,True,True
Fixed 2 m target,Identity baseline,2580,wedding,,0.5540819551239234,1.695297455973128,1.2663433389804108,True,True,True
Fixed 2 m target,Identity baseline,2581,wedding,,0.9414144678016577,1.3013703734168203,2.2871485741164994,True,True,True
Fixed 2 m target,Identity baseline,2582,wedding,,0.6088238345037505,1.585097441672602,6.216930364608411,True,True,True
Fixed 2 m target,Identity baseline,2583,wedding,,0.7419612869151461,1.057397094847815,0.17564835896846742,True,True,True
Fixed 2 m target,Identity baseline,2584,wedding,,0.7343542198827001,0.90839638940677,0.11000005324444237,True,True,True
Fixed 2 m target,Identity baseline,2585,wedding,,1.068600377785026,1.5035960253971155,0.6362475545142862,True,True,True
Fixed 2 m target,Identity baseline,2586,wedding,,0.6153552853469249,1.0174268881330386,1.315128453875405,True,True,True
Fixed 2 m target,Identity baseline,2587,wedding,,0.7881917899000446,1.0272462125986583,1.5680457993599917,True,True,True
Fixed 2 m target,Identity baseline,2588,wedding,,1.089948792483021,1.8802016394252439,0.6658440607402705,True,True,True
Fixed 2 m target,Identity baseline,2589,wedding,,0.9095608629137578,0.9843544770135884,1.1658709686006468,True,True,True
Fixed 2 m target,Identity baseline,2590,wedding,,1.0167512099965628,1.3695918647730652,2.3185219624290614,True,True,True
Fixed 2 m target,Identity baseline,2591,wedding,,0.29661789086565565,0.8355289759442396,1.870774546964879,True,True,True
Fixed 2 m target,Identity baseline,2592,wedding,,1.5488072739281313,1.2492037647504217,10.993190125363434,True,True,True
Fixed 2 m target,Identity baseline,2593,wedding,,0.9416574180652939,1.066061298136762,2.0596625863960716,True,True,True
